iter	Passed	Remaining
0	52	52268
1	52	26401
2	53	17686
3	53	13339
4	53	10724
5	54	8974
6	54	7728
7	54	6806
8	55	6077
9	55	5495
10	55	5015
11	56	4615
12	56	4276
13	56	3984
14	56	3732
15	57	3511
16	57	3315
17	57	3141
18	57	2989
19	58	2852
20	58	2727
21	58	2609
22	58	2504
23	59	2410
24	59	2322
25	59	2241
26	60	2166
27	60	2099
28	60	2036
29	61	1981
30	61	1927
31	61	1874
32	62	1824
33	62	1777
34	62	1732
35	63	1690
36	63	1649
37	63	1610
38	63	1576
39	64	1541
40	64	1508
41	64	1477
42	65	1447
43	65	1418
44	65	1391
45	65	1364
46	66	1339
47	66	1314
48	66	1290
49	66	1268
50	67	1247
51	67	1227
52	67	1206
53	67	1187
54	68	1169
55	68	1151
56	68	1133
57	68	1116
58	69	1100
59	69	1085
60	69	1070
61	69	1055
62	70	1041
63	70	1029
64	70	1016
65	70	1003
66	71	990
67	71	978
68	71	966
69	71	954
70	72	943
71	72	932
72	72	921
73	72	911
74	73	901
75	73	891
76	73	881
77	73	871
78	74	862
79	74	854
80	74	845
81	74	837
82	75	828
83	75	820
84	75	811
85	75	804
86	75	796
87	76	788
88	76	781
89	76	774
90	76	766
91	77	760
92	77	753
93	77	746
94	77	739
95	77	733
96	78	726
97	78	720
98	78	714
99	78	708
100	78	702
101	79	697
102	79	691
103	79	686
104	79	680
105	80	675
106	80	669
107	80	664
108	80	659
109	80	654
110	81	649
111	81	645
112	81	640
113	81	635
114	82	631
115	82	626
116	82	622
117	82	618
118	82	614
119	83	610
120	83	606
121	83	602
122	83	598
123	84	594
124	84	590
125	84	587
126	84	583
127	85	580
128	85	576
129	85	573
130	85	570
131	86	566
132	86	563
133	86	559
134	86	556
135	87	553
136	87	549
137	87	546
138	87	543
139	87	540
140	88	537
141	88	534
142	88	531
143	88	528
144	89	526
145	89	523
146	89	520
147	89	517
148	90	514
149	90	512
150	90	509
151	90	507
152	91	504
153	91	501
154	91	499
155	91	496
156	92	494
157	92	491
158	92	489
159	92	486
160	92	484
161	93	481
162	93	479
163	93	477
164	93	475
165	94	473
166	94	472
167	94	469
168	95	468
169	95	466
170	95	464
171	96	462
172	96	460
173	96	458
174	96	456
175	97	454
176	97	452
177	97	450
178	97	448
179	98	446
180	98	445
181	98	443
182	98	441
183	99	439
184	99	437
185	99	436
186	99	434
187	100	432
188	100	430
189	100	428
190	100	427
191	101	425
192	101	423
193	101	421
194	101	419
195	101	418
196	102	416
197	102	414
198	102	412
199	102	411
200	103	409
201	103	407
202	103	406
203	103	404
204	104	403
205	104	401
206	104	400
207	104	398
208	104	397
209	105	395
210	105	394
211	105	392
212	105	391
213	106	389
214	106	388
215	106	387
216	106	385
217	107	384
218	107	382
219	107	381
220	107	380
221	108	378
222	108	377
223	108	375
224	108	374
225	108	373
226	109	371
227	109	370
228	109	369
229	109	367
230	110	366
231	110	365
232	110	364
233	110	362
234	111	362
235	111	360
236	111	359
237	111	358
238	112	356
239	112	355
240	112	354
241	112	353
242	113	352
243	113	351
244	113	349
245	113	348
246	113	347
247	114	346
248	114	345
249	114	344
250	114	342
251	115	341
252	115	340
253	115	339
254	115	338
255	116	337
256	116	336
257	116	335
258	116	334
259	117	333
260	117	332
261	117	331
262	117	330
263	118	329
264	118	328
265	118	327
266	118	326
267	119	325
268	119	324
269	119	323
270	119	322
271	120	321
272	120	320
273	120	319
274	120	318
275	121	317
276	121	316
277	121	315
278	121	314
279	121	313
280	122	312
281	122	311
282	122	310
283	122	309
284	123	308
285	123	307
286	123	307
287	123	306
288	123	305
289	124	304
290	124	303
291	124	302
292	124	301
293	125	300
294	125	299
295	125	298
296	125	297
297	125	296
298	126	295
299	126	294
300	126	293
301	126	292
302	127	292
303	127	291
304	127	290
305	127	289
306	127	288
307	128	287
308	128	286
309	128	286
310	128	285
311	129	284
312	129	283
313	129	283
314	129	282
315	130	281
316	130	280
317	130	280
318	130	279
319	131	278
320	131	277
321	131	276
322	131	276
323	132	275
324	132	274
325	132	273
326	132	273
327	132	272
328	133	271
329	133	270
330	133	269
331	133	269
332	133	268
333	134	267
334	134	266
335	134	266
336	134	265
337	135	264
338	135	263
339	135	263
340	135	262
341	136	261
342	136	260
343	136	260
344	136	259
345	136	258
346	137	258
347	137	257
348	137	256
349	137	256
350	138	255
351	138	254
352	138	253
353	138	253
354	139	252
355	139	251
356	139	251
357	139	250
358	140	250
359	140	249
360	140	248
361	140	248
362	141	247
363	141	247
364	141	246
365	141	245
366	142	245
367	142	244
368	142	243
369	142	243
370	143	242
371	143	242
372	143	241
373	143	240
374	144	240
375	144	239
376	144	238
377	144	238
378	144	237
379	145	236
380	145	236
381	145	235
382	145	234
383	145	234
384	146	233
385	146	232
386	146	232
387	146	231
388	147	230
389	147	230
390	147	229
391	147	229
392	148	228
393	148	228
394	148	227
395	148	226
396	148	226
397	149	225
398	149	224
399	149	224
400	149	223
401	150	223
402	150	222
403	150	222
404	150	221
405	151	221
406	151	220
407	151	219
408	151	219
409	152	218
410	152	218
411	152	217
412	152	217
413	153	216
414	153	216
415	153	215
416	153	215
417	154	214
418	154	214
419	154	213
420	155	213
421	155	212
422	155	212
423	155	211
424	155	211
425	156	210
426	156	209
427	156	209
428	156	208
429	157	208
430	157	207
431	157	207
432	157	206
433	158	206
434	158	205
435	158	204
436	158	204
437	158	203
438	159	203
439	159	202
440	159	202
441	159	201
442	159	201
443	160	200
444	160	200
445	160	199
446	160	198
447	161	198
448	161	197
449	161	197
450	161	196
451	161	196
452	162	195
453	162	195
454	162	194
455	162	194
456	163	193
457	163	193
458	163	192
459	163	192
460	164	191
461	164	191
462	164	191
463	164	190
464	165	190
465	165	189
466	165	189
467	165	188
468	166	187
469	166	187
470	166	187
471	166	186
472	166	186
473	167	185
474	167	185
475	167	184
476	167	184
477	168	183
478	168	183
479	168	182
480	168	182
481	169	181
482	169	181
483	169	180
484	169	180
485	170	179
486	170	179
487	170	178
488	170	178
489	170	177
490	171	177
491	171	176
492	171	176
493	171	176
494	172	175
495	172	175
496	172	174
497	172	174
498	173	173
499	173	173
500	173	172
501	173	172
502	173	171
503	174	171
504	174	171
505	174	170
506	175	170
507	175	169
508	175	169
509	175	168
510	176	168
511	176	168
512	176	167
513	176	167
514	177	166
515	177	166
516	177	165
517	177	165
518	178	165
519	178	164
520	178	164
521	178	163
522	179	163
523	179	162
524	179	162
525	179	161
526	179	161
527	180	161
528	180	160
529	180	160
530	180	159
531	181	159
532	181	158
533	181	158
534	181	157
535	181	157
536	182	157
537	182	156
538	182	156
539	182	155
540	183	155
541	183	154
542	183	154
543	183	153
544	183	153
545	184	153
546	184	152
547	184	152
548	184	151
549	184	151
550	185	150
551	185	150
552	185	150
553	185	149
554	186	149
555	186	148
556	186	148
557	186	148
558	187	147
559	187	147
560	187	146
561	187	146
562	188	146
563	188	145
564	188	145
565	188	144
566	189	144
567	189	143
568	189	143
569	189	143
570	189	142
571	190	142
572	190	141
573	190	141
574	191	141
575	191	141
576	191	140
577	192	140
578	192	139
579	192	139
580	192	138
581	192	138
582	193	138
583	193	137
584	193	137
585	193	136
586	193	136
587	194	136
588	194	135
589	194	135
590	194	134
591	195	134
592	195	134
593	195	133
594	196	133
595	196	133
596	196	132
597	197	132
598	197	132
599	197	131
600	197	131
601	198	131
602	198	130
603	198	130
604	199	130
605	199	129
606	199	129
607	200	129
608	200	128
609	200	128
610	201	128
611	201	127
612	201	127
613	201	126
614	202	126
615	202	126
616	202	125
617	203	125
618	203	125
619	203	124
620	204	124
621	204	124
622	204	123
623	205	123
624	205	123
625	205	122
626	205	122
627	206	122
628	206	121
629	206	121
630	206	120
631	206	120
632	207	120
633	207	119
634	207	119
635	208	119
636	208	118
637	208	118
638	209	118
639	209	117
640	209	117
641	209	117
642	210	116
643	210	116
644	210	116
645	211	115
646	211	115
647	211	114
648	212	114
649	212	114
650	212	113
651	212	113
652	213	113
653	213	112
654	213	112
655	213	112
656	213	111
657	214	111
658	214	110
659	214	110
660	214	110
661	215	109
662	215	109
663	215	109
664	215	108
665	215	108
666	216	107
667	216	107
668	216	107
669	216	106
670	216	106
671	217	106
672	217	105
673	217	105
674	217	104
675	218	104
676	218	104
677	218	103
678	218	103
679	218	102
680	219	102
